Year,Total tax revenue (All India) (A+C) – Total ,Central taxes (gross) (A) – Total ,States’ share in central taxes (B) – Total,Central taxes (net) (A-B) – Total ,States’ own taxes (C) – Total ,States’ tax revenue (B+C) – Total
1950-51,627,405,48,357,222,270
1951-52,739,512,53,459,227,280
1952-53,678,445,73,372,233,306
1953-54,672,420,73,347,252,325
1954-55,720,455,71,384,265,336
1955-56,768,485,74,411,283,357
1956-57,890,570,78,492,320,398
1957-58,1045,692,116,576,353,469
1958-59,1089,701,148,553,388,536
1959-60,1216,794,152,642,422,574
1960-61,1350,895,165,730,455,620
1961-62,1543,1054,179,875,489,668
1962-63,1865,1285,224,1061,580,804
1963-64,2325,1634,260,1374,691,951
1964-65,2599,1821,258,1563,778,1036
1965-66,2922,2061,276,1785,861,1137
1966-67,3261,2307,373,1934,954,1327
1967-68,3456,2353,416,1937,1103,1519
1968-69,3759,2510,491,2019,1249,1740
1969-70,4200,2822,621,2201,1378,1999
1970-71,4752,3206,755,2451,1546,2301
1971-72,5575,3873,945,2928,1702,2647
1972-73,6436,4505,1062,3443,1931,2993
1973-74,7389,5070,1170,3900,2319,3489
1974-75,9223,6322,1225,5097,2901,4126
1975-76,11182,7609,1599,6010,3573,5172
1976-77,12332,8271,1690,6581,4061,5751
1977-78,13237,8858,1798,7060,4379,6177
1978-79,15528,10525,1957,8568,5003,6960
1979-80,17683,11974,3406,8568,5709,9115
1980-81,19844,13179,3791,9388,6665,10456
1981-82,24142,15847,4274,11573,8295,12569
1982-83,27242,17696,4640,13056,9546,14186
1983-84,31525,20721,5245,15476,10804,16049
1984-85,35814,23471,5777,17694,12343,18120
1985-86,43267,28670,7490,21180,14597,22087
1986-87,49539,32838,8476,24362,16701,25177
1987-88,56976,37665,9597,28068,19311,28908
1988-89,66926,44474,10669,33805,22452,33121
1989-90,77693,51636,13232,38404,26057,39289
1990-91,87722,57577,14535,43042,30145,44680
1991-92,103198,67361,17197,50164,35837,53034
1992-93,114166,74636,20522,54114,39530,60052
1993-94,121961,75742,22240,53502,46219,68459
1994-95,147849,92297,24843,67454,55552,80395
1995-96,175259,111224,29285,81939,64035,93320
1996-97,201056,129762,35061,94701,71294,106355
1997-98,220659,139220,43548,95672,81439,124987
1998-99,233017,143797,39145,104652,89220,128365
1999-2000,274583,171752,43481,128271,102831,146312
2000-01,305322,188605,51945,136660,116717,168662
2001-02,314535,187060,53398,133662,127475,180873
2002-03,356277,215905,56122,159783,140372,196494
2003-04,414083,254347,67366,186981,159736,227102
2004-05,494370,304957,80159,224798,189413,269572
2005-06,587688,366151,95887,270264,221537,317424
2006-07,736707,473512,122331,351181,263195,385526
2007-08,870329,593147,153600,439547,277182,430782
2008-09,915450,605298,161979,443319,310152,472131
2009-10,1000844,624527,167992,456536,376316,544308
2010-11,1271665,793072,223203,569869,478594,701797
2011-12,1467891,888898,259412,629486,578993,838405
2012-13,1716117,1036234,294357,741877,679882,974239
2013-14,1879142,1138733,322879,815854,740409,1063288
2014-15,2040026,1244885,341269,903616,795141,1136410
2015-16,2333951,1455648,511883,943765,878303,1391718
2016-17,2688208,1703243,614450,1088793,984965,1602656
2017-18,3009434,1911579,684565,1227014,1097855,1784913
